1061      Bacteria   Proteobacteria                Alphaproteobacteria        Rhodobacterales                          Rhodobacteraceae                                    Rhodobacter                        Rhodobacter capsulatus                                         Unassigned
1075      Bacteria   Proteobacteria                Alphaproteobacteria        Rhodobacterales                          Rhodobacteraceae                                    Rhodobacter                        Rhodobacter blasticus                                          Unassigned
272942    Bacteria   Proteobacteria                Alphaproteobacteria        Rhodobacterales                          Rhodobacteraceae                                    Rhodobacter                        Rhodobacter capsulatus                                         Rhodobacter capsulatus SB 1003
272943    Bacteria   Proteobacteria                Alphaproteobacteria        Rhodobacterales                          Rhodobacteraceae                                    Cereibacter                        Cereibacter sphaeroides                                        Cereibacter sphaeroides 2.4.1
349101    Bacteria   Proteobacteria                Alphaproteobacteria        Rhodobacterales                          Rhodobacteraceae                                    Cereibacter                        Cereibacter sphaeroides                                        Cereibacter sphaeroides ATCC 17029
557760    Bacteria   Proteobacteria                Alphaproteobacteria        Rhodobacterales                          Rhodobacteraceae                                    Cereibacter                        Cereibacter sphaeroides                                        Cereibacter sphaeroides KD131
992186    Bacteria   Proteobacteria                Alphaproteobacteria        Rhodobacterales                          Rhodobacteraceae                                    Cereibacter                        Cereibacter sphaeroides                                        Cereibacter sphaeroides WS8N
1850250   Bacteria   Proteobacteria                Alphaproteobacteria        Rhodobacterales                          Rhodobacteraceae                                    Rhodobacter                        Rhodobacter sp. LPB0142                                        Unassigned
2033869   Bacteria   Proteobacteria                Alphaproteobacteria        Rhodobacterales                          Rhodobacteraceae                                    Rhodobacter                        Rhodobacter sp. CZR27                                          Unassigned
2172103   Bacteria   Proteobacteria                Gammaproteobacteria        Enterobacterales                         Budviciaceae                                        Limnobaculum                       Limnobaculum parvum                                            Unassigned
880073    Bacteria   Calditrichaeota               Calditrichia               Calditrichales                           Calditrichaceae                                     Caldithrix                         Caldithrix abyssi                                              Caldithrix abyssi DSM 13497
525903    Bacteria   Synergistetes                 Synergistia                Synergistales                            Synergistaceae                                      Thermanaerovibrio                  Thermanaerovibrio acidaminovorans                              Thermanaerovibrio acidaminovorans DSM 6589
926567    Bacteria   Synergistetes                 Synergistia                Synergistales                            Synergistaceae                                      Thermanaerovibrio                  Thermanaerovibrio velox                                        Thermanaerovibrio velox DSM 12556
1176533   Bacteria   Proteobacteria                Gammaproteobacteria        Xanthomonadales                          Xanthomonadaceae                                    Luteimonas                         Luteimonas granuli                                             Unassigned
1896164   Bacteria   Proteobacteria                Gammaproteobacteria        Xanthomonadales                          Xanthomonadaceae                                    Luteimonas                         Luteimonas sp. JM171                                           Unassigned
2006110   Bacteria   Proteobacteria                Gammaproteobacteria        Xanthomonadales                          Xanthomonadaceae                                    Luteimonas                         Luteimonas chenhongjianii                                      Unassigned
2508168   Bacteria   Proteobacteria                Gammaproteobacteria        Xanthomonadales                          Xanthomonadaceae                                    Luteimonas                         Luteimonas sp. YGD11-2                                         Unassigned
2565782   Bacteria   Proteobacteria                Gammaproteobacteria        Xanthomonadales                          Xanthomonadaceae                                    Luteimonas                         Luteimonas yindakuii                                           Unassigned
2761107   Bacteria   Proteobacteria                Gammaproteobacteria        Xanthomonadales                          Xanthomonadaceae                                    Luteimonas                         Luteimonas sp. MC1825                                          Unassigned
2799325   Bacteria   Proteobacteria                Gammaproteobacteria        Xanthomonadales                          Xanthomonadaceae                                    Luteimonas                         Luteimonas sp. MC1572                                          Unassigned
2799326   Bacteria   Proteobacteria                Gammaproteobacteria        Xanthomonadales                          Xanthomonadaceae                                    Luteimonas                         Luteimonas sp. MC1750                                          Unassigned
290398    Bacteria   Proteobacteria                Gammaproteobacteria        Oceanospirillales                        Halomonadaceae                                      Chromohalobacter                   Chromohalobacter salexigens                                    Chromohalobacter salexigens DSM 3043
216432    Bacteria   Bacteroidetes                 Flavobacteriia             Flavobacteriales                         Flavobacteriaceae                                   Croceibacter                       Croceibacter atlanticus                                        Croceibacter atlanticus HTCC2559
37931     Bacteria   Actinobacteria                Actinomycetia              Micrococcales                            Micrococcaceae                                      Paenarthrobacter                   Paenarthrobacter ureafaciens                                   Unassigned
290340    Bacteria   Actinobacteria                Actinomycetia              Micrococcales                            Micrococcaceae                                      Paenarthrobacter                   Paenarthrobacter aurescens                                     Paenarthrobacter aurescens TC1
2735316   Bacteria   Actinobacteria                Actinomycetia              Micrococcales                            Micrococcaceae                                      Paenarthrobacter                   Paenarthrobacter sp. YJN-5                                     Unassigned
2735317   Bacteria   Actinobacteria                Actinomycetia              Micrococcales                            Micrococcaceae                                      Paenarthrobacter                   Paenarthrobacter sp. YJN-D                                     Unassigned
1809410   Bacteria   Proteobacteria                Betaproteobacteria         Burkholderiales                          Oxalobacteraceae                                    Herminiimonas                      Herminiimonas arsenitoxidans                                   Unassigned
324602    Bacteria   Chloroflexi                   Chloroflexia               Chloroflexales                           Chloroflexaceae                                     Chloroflexus                       Chloroflexus aurantiacus                                       Chloroflexus aurantiacus J-10-fl
326427    Bacteria   Chloroflexi                   Chloroflexia               Chloroflexales                           Chloroflexaceae                                     Chloroflexus                       Chloroflexus aggregans                                         Chloroflexus aggregans DSM 9485
480224    Bacteria   Chloroflexi                   Chloroflexia               Chloroflexales                           Chloroflexaceae                                     Chloroflexus                       Chloroflexus aurantiacus                                       Chloroflexus aurantiacus Y-400-fl
2211106   Bacteria   Proteobacteria                Gammaproteobacteria        Thiotrichales                            Piscirickettsiaceae                                 Thiomicrorhabdus                   Thiomicrorhabdus aquaedulcis                                   Unassigned
2267253   Bacteria   Proteobacteria                Gammaproteobacteria        Thiotrichales                            Piscirickettsiaceae                                 Thiomicrorhabdus                   Thiomicrorhabdus indica                                        Unassigned
2580412   Bacteria   Proteobacteria                Gammaproteobacteria        Thiotrichales                            Piscirickettsiaceae                                 Thiomicrorhabdus                   Thiomicrorhabdus sediminis                                     Unassigned
2739063   Bacteria   Proteobacteria                Gammaproteobacteria        Thiotrichales                            Piscirickettsiaceae                                 Thiomicrorhabdus                   Thiomicrorhabdus xiamenensis                                   Unassigned
880074    Bacteria   Bacteroidetes                 Bacteroidia                Bacteroidales                            Barnesiellaceae                                     Barnesiella                        Barnesiella viscericola                                        Barnesiella viscericola DSM 18177
690850    Bacteria   Proteobacteria                Deltaproteobacteria        Desulfovibrionales                       Desulfovibrionaceae                                 Desulfocurvibacter                 Desulfocurvibacter africanus                                   Desulfocurvibacter africanus subsp. africanus str. Walvis Bay
1167006   Bacteria   Proteobacteria                Deltaproteobacteria        Desulfobacterales                        Desulfobulbaceae                                    Desulfocapsa                       Desulfocapsa sulfexigens                                       Desulfocapsa sulfexigens DSM 10523
2093857   Bacteria   Firmicutes                    Clostridia                 Eubacteriales                            Oscillospiraceae                                    Dysosmobacter                      Dysosmobacter welbionis                                        Unassigned
2830675   Bacteria   Firmicutes                    Clostridia                 Eubacteriales                            Oscillospiraceae                                    Dysosmobacter                      Dysosmobacter sp. Marseille-Q4140                              Unassigned
1829      Bacteria   Actinobacteria                Actinomycetia              Corynebacteriales                        Nocardiaceae                                        Rhodococcus                        Rhodococcus rhodochrous                                        Unassigned
1830      Bacteria   Actinobacteria                Actinomycetia              Corynebacteriales                        Nocardiaceae                                        Rhodococcus                        Rhodococcus ruber                                              Unassigned
1833      Bacteria   Actinobacteria                Actinomycetia              Corynebacteriales                        Nocardiaceae                                        Rhodococcus                        Rhodococcus erythropolis                                       Unassigned
37919     Bacteria   Actinobacteria                Actinomycetia              Corynebacteriales                        Nocardiaceae                                        Rhodococcus                        Rhodococcus opacus                                             Unassigned
38310     Bacteria   Actinobacteria                Actinomycetia              Corynebacteriales                        Nocardiaceae                                        Rhodococcus                        Rhodococcus coprophilus                                        Unassigned
43767     Bacteria   Actinobacteria                Actinomycetia              Corynebacteriales                        Nocardiaceae                                        Rhodococcus                        Rhodococcus hoagii                                             Unassigned
99653     Bacteria   Actinobacteria                Actinomycetia              Corynebacteriales                        Nocardiaceae                                        Rhodococcus                        Rhodococcus koreensis                                          Unassigned
101510    Bacteria   Actinobacteria                Actinomycetia              Corynebacteriales                        Nocardiaceae                                        Rhodococcus                        Rhodococcus jostii                                             Rhodococcus jostii RHA1
103816    Bacteria   Actinobacteria                Actinomycetia              Corynebacteriales                        Nocardiaceae                                        Rhodococcus                        Rhodococcus pyridinivorans                                     Unassigned
191292    Bacteria   Actinobacteria                Actinomycetia              Corynebacteriales                        Nocardiaceae                                        Rhodococcus                        Rhodococcus aetherivorans                                      Unassigned
234621    Bacteria   Actinobacteria                Actinomycetia              Corynebacteriales                        Nocardiaceae                                        Rhodococcus                        Rhodococcus erythropolis                                       Rhodococcus erythropolis PR4
262776    Bacteria   Actinobacteria                Actinomycetia              Corynebacteriales                        Nocardiaceae                                        Rhodococcus                        Rhodococcus opacus                                             Unassigned
300028    Bacteria   Actinobacteria                Actinomycetia              Corynebacteriales                        Nocardiaceae                                        Rhodococcus                        Rhodococcus triatomae                                          Unassigned
